127.0.0.1 - - [13/Apr/2018:14:13:53 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:13:56 +0900] "GET /WebProj4/ HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:14:01 +0900] "POST /WebProj4/HelloStrutsAction.action;jsessionid=857BBAAAC90F0CC29A1E996C7325FAD6 HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:14:01 +0900] "GET /WebProj4/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:15:58 +0900] "POST /WebProj4/WelcomeAction.action;jsessionid=857BBAAAC90F0CC29A1E996C7325FAD6 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:16:35 +0900] "POST /WebProj4/LoginAction.action HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:16:43 +0900] "POST /WebProj4/WelcomeAction.action;jsessionid=857BBAAAC90F0CC29A1E996C7325FAD6 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:16:46 +0900] "POST /WebProj4/LoginAction.action HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:16:53 +0900] "POST /WebProj4/HelloStrutsAction.action;jsessionid=857BBAAAC90F0CC29A1E996C7325FAD6 HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:44:43 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:44:47 +0900] "POST /WebProj4/WelcomeAction.action HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:44:57 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:44:57 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:45:03 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:45:22 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:45:34 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:01 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:04 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:32 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:34 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:57 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:46:58 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:50:38 +0900] "GET /WebProj4/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [13/Apr/2018:14:50:39 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/Apr/2018:15:23:35 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 677
